Name,Name copy,Responsable,Deadline manual,tiempo (seg),Horas,Horass,Estado,Descripción/enlace del archivo
4 - B - Aplicar las reglas de transformación a SIDBRINT (6 x 4 horas),Aplicar las reglas de transformación a SIDBRINT (6 x 4 horas),B,7/3/2025,240.0,4.0,4.0,To do,
0.5 - B - Enviar para revisión las rt,Enviar para revisión las rt,B,7/3/2025,30.0,0.5,0.5,To do,
4 - B - Aplicar las reglas de transformación a SIDBRINT (6 x 4 horas),Aplicar las reglas de transformación a SIDBRINT (6 x 4 horas),B,7/4/2025,240.0,4.0,4.0,To do,
0.5 - G - Enviar proceso de transformaciónn a Miquel para revisión (Paquete 1),Enviar proceso de transformaciónn a Miquel para revisión (Paquete 1),G,7/4/2025,30.0,0.5,0.5,To do,
4 - B - Aplicar las reglas de transformación a SIDBRINT (6 x 4 horas),Aplicar las reglas de transformación a SIDBRINT (6 x 4 horas),B,7/7/2025,240.0,4.0,4.0,To do,
4 - G - Aplicar reglas de transformación a Censura (6 por 4 horas),Aplicar reglas de transformación a Censura (6 por 4 horas),G,7/7/2025,240.0,4.0,4.0,To do,
4 - B - Aplicar las reglas de transformación a SIDBRINT (6 x 4 horas),Aplicar las reglas de transformación a SIDBRINT (6 x 4 horas),B,7/8/2025,240.0,4.0,4.0,To do,
"2 - B, G, HS - Reunión de revisión de transformaciones",Reunión de revisión de transformaciones,"B,G,HS",7/9/2025,120.0,2.0,2.0,To do,
2 - G - Aplicar las correcciones de la revisión 1,Aplicar las correcciones de la revisión 1,G,7/10/2025,120.0,2.0,2.0,To do,
4 - B - Aplicar las reglas de transformación a SIDBRINT (6 x 4 horas),Aplicar las reglas de transformación a SIDBRINT (6 x 4 horas),B,7/10/2025,240.0,4.0,4.0,To do,
2 - B - Enviar las trasnformaciones a Miquel para revisión (paquete 2),Enviar las trasnformaciones a Miquel para revisión (paquete 2),B,7/11/2025,120.0,2.0,2.0,To do,
4 - B - Aplicación de correcciones de la revisión,Aplicación de correcciones de la revisión,B,7/14/2025,240.0,4.0,4.0,To do,
4 - G - Aplicar reglas de transformación a Censura (6 por 4 horas),Aplicar reglas de transformación a Censura (6 por 4 horas),G,7/14/2025,240.0,4.0,4.0,To do,
"2 - HS, B, G - Reunión de seguimeinto de proceso",Reunión de seguimeinto de proceso,"HS,B,G",7/16/2025,120.0,2.0,2.0,To do,
2 - G - Aplicar las correcciones de la revisión 2,Aplicar las correcciones de la revisión 2,G,7/17/2025,120.0,2.0,2.0,To do,
4 - G - Aplicar reglas de transformación a Censura (6 por 4 horas),Aplicar reglas de transformación a Censura (6 por 4 horas),G,7/21/2025,240.0,4.0,4.0,To do,
4 - B - Construir ontología - Sidbrint,Construir ontología - Sidbrint,B,7/21/2025,240.0,4.0,4.0,To do,
0.5 - G - Enviar transformaciones a Miquel para revisión (Paquete 2),Enviar transformaciones a Miquel para revisión (Paquete 2),G,7/22/2025,30.0,0.5,0.5,To do,
