entity,property
INFORME_LECTOR_LECTORES,idInformeLectorLectores
INFORME_LECTOR_LECTORES,FK_idLector
INFORME_LECTOR_LECTORES,FK_InformeLector
COLECCION,idColeccion
COLECCION,Nombre_coleccion
COLECCION,Coleccion_web_de_voces
SOLICITUDES_IMPORTACION_COLECCION,idSolicitudesImportacionColeccion
SOLICITUDES_IMPORTACION_COLECCION,FK_idColeccion
SOLICITUDES_IMPORTACION_COLECCION,FK_idSolicitud_de_importacion
IDIOMA,idIdioma
IDIOMA,nombreIdioma
SOLICITUDES_IMPORTACION_IDIOMAS,idSolicitudesImportacionIdiomas
SOLICITUDES_IMPORTACION_IDIOMAS,FK_idoma
SOLICITUDES_IMPORTACION_IDIOMAS,FK_idSolicitud_de_importacion
EDITORES,idEditor
EDITORES,Nombre_del_editor
EDITORES,Nombre_del_editor_estado
EDITORES,Fecha
EDITORES,Informacion
EDITORES,Informacion_del_editor_en_otras_bdd
EDITORES_EN_OTRAS_BASES_DE_DATOS,URL
EDITORES_EN_OTRAS_BASES_DE_DATOS,Texto_del_enlace
EDITORES_EN_OTRAS_BASES_DE_DATOS,Informacion
EDITORES_EN_OTRAS_BASES_DE_DATOS,FK_EDITOR
PROVEEDORES_DEL_PAPEL,idProveedorSolicitante
PROVEEDORES_DEL_PAPEL,Nombre_del_proveedor
PROVEEDORES_DEL_PAPEL,Nombre_del_proveedor_de_papel
PROVEEDORES_DEL_PAPEL,Nombre_del_proveedor_de_papel_estado
PROVEEDORES_DEL_PAPEL,Informacion_sobre_el_editor_en_otras_bdd
PROVEEDORES_DEL_PAPEL,Genero
PROVEEDORES_EN_OTRAS_BASES_DE_DATOS,URL
PROVEEDORES_EN_OTRAS_BASES_DE_DATOS,Texto_del_enlace
PROVEEDORES_EN_OTRAS_BASES_DE_DATOS,FK_idProveedor
PROVEEDORES_EN_OTRAS_BASES_DE_DATOS,Genero
SOLICITUDES_PUBLICACION_IDIOMAS,idSolicitudPublicacionIdiomas
SOLICITUDES_PUBLICACION_IDIOMAS,FK_idIdioma
SOLICITUDES_PUBLICACION_IDIOMAS,FK_idSolicitud_Publicacion
SOLICITUDES_PUBLICACION_EDITORES,idSolcitudPublicacionEditores
SOLICITUDES_PUBLICACION_EDITORES,FK_idEditor
SOLICITUDES_PUBLICACION_EDITORES,FK_idSolicitud_Publicacion
SOLICITUDES_PUBLICACION_PROVEEDORES,idSolicitudPublicacionProveedores
SOLICITUDES_PUBLICACION_PROVEEDORES,FK_idProveedor
SOLICITUDES_PUBLICACION_PROVEEDORES,FK_idSolicitudPublicacion
